ts_event,fill_id,broker_fill_id,order_id,symbol,side,quantity,price,commission,exchange
2024-12-01 23:30:00+00:00,7ba4755f-d325-472f-8b0e-ba48353e73e3,,855131a8-3b2e-464b-9e4f-c35908501410,MNQZ4,SELL,1.0,20971.5,0.0,SIMULATED
2024-12-01 23:31:00+00:00,45cecd65-ed95-41a0-b2c7-904d50823046,,2577595b-cd1f-4397-a820-9b262e843320,MNQZ4,SELL,1.0,20967.25,0.0,SIMULATED
2024-12-01 23:57:00+00:00,987fa24e-493c-4ff7-ad23-2b349f9b003e,,7a04d5eb-9fa7-4747-8cab-79b75fee8dcd,MNQZ4,BUY,1.0,20959.75,0.0,SIMULATED
2024-12-01 23:58:00+00:00,27a9a251-aa7a-4ce9-8016-beb3b203702c,,71de0b2e-aa97-4fa7-b6fd-c7e34c38ba29,MNQZ4,BUY,1.0,20962.5,0.0,SIMULATED
2024-12-01 23:59:00+00:00,432da19b-e893-4a95-8229-730e5479ceed,,194269d9-f879-4f44-8f12-7f354e3dbe5e,MNQZ4,BUY,1.0,20964.5,0.0,SIMULATED
2024-12-02 00:00:00+00:00,1ceef35f-0db8-415a-941b-0da3b2378a26,,cf6becfb-fca7-4c3d-9840-b9dd71f57100,MNQZ4,BUY,1.0,20965.25,0.0,SIMULATED
2024-12-02 00:33:00+00:00,516b775b-f9fa-437d-ac1c-690390e01d83,,a569bac4-e2a4-4f50-bfb0-295da50327d9,MNQZ4,SELL,1.0,20969.75,0.0,SIMULATED
2024-12-02 00:34:00+00:00,60a5e401-32bb-462f-a40d-33119d0a7412,,151620b4-ed51-4ce0-bbd3-abbb9c3487dc,MNQZ4,SELL,1.0,20964.75,0.0,SIMULATED
2024-12-02 00:35:00+00:00,03ad26b9-9f70-4e72-856a-5761a2c73ab6,,5c60b592-23a4-44a3-a2b6-c8fb837250fa,MNQZ4,SELL,1.0,20951.0,0.0,SIMULATED
2024-12-02 00:36:00+00:00,06c4727a-5e68-44c6-b8b2-b2deb9cdfc1d,,bffcf363-4ab9-486c-9709-8005814613d2,MNQZ4,SELL,1.0,20955.25,0.0,SIMULATED
2024-12-02 00:59:00+00:00,c605d9d6-1540-4be1-a82f-b47765302376,,bb00a863-27f3-4c79-9ee6-d41d75274ea8,MNQZ4,BUY,1.0,20958.0,0.0,SIMULATED
2024-12-02 01:00:00+00:00,c0e9eb5b-3655-4d8a-994f-d95eba68b5bb,,317fdae0-d479-4ac0-b65a-07279a5dabb0,MNQZ4,BUY,1.0,20956.5,0.0,SIMULATED
2024-12-02 01:01:00+00:00,08b47990-518e-42a3-8412-ccc40934f407,,4106510b-73da-4206-8ead-b38228e48edc,MNQZ4,BUY,1.0,20954.75,0.0,SIMULATED
2024-12-02 01:02:00+00:00,80b59064-fb5b-47bd-8489-800861002ac1,,d42cde0e-5a96-4d7e-8cd6-1a898075f499,MNQZ4,BUY,1.0,20954.5,0.0,SIMULATED
