ts_event,event_type,order_id,symbol,order_type,side,quantity,limit_price,stop_price,broker_order_id
2026-01-01 10:08:16.261701+00:00,submission_requested,855131a8-3b2e-464b-9e4f-c35908501410,MNQZ4,MARKET,SELL,1.0,,,
2026-01-01 10:08:16.261994+00:00,submission_accepted,855131a8-3b2e-464b-9e4f-c35908501410,,,,,,,
2026-01-01 10:08:16.262077+00:00,submission_requested,2577595b-cd1f-4397-a820-9b262e843320,MNQZ4,MARKET,SELL,1.0,,,
2026-01-01 10:08:16.262168+00:00,submission_accepted,2577595b-cd1f-4397-a820-9b262e843320,,,,,,,
2026-01-01 10:08:16.263479+00:00,submission_requested,7a04d5eb-9fa7-4747-8cab-79b75fee8dcd,MNQZ4,MARKET,BUY,1.0,,,
2026-01-01 10:08:16.263532+00:00,submission_accepted,7a04d5eb-9fa7-4747-8cab-79b75fee8dcd,,,,,,,
2026-01-01 10:08:16.263592+00:00,submission_requested,71de0b2e-aa97-4fa7-b6fd-c7e34c38ba29,MNQZ4,MARKET,BUY,1.0,,,
2026-01-01 10:08:16.263649+00:00,submission_accepted,71de0b2e-aa97-4fa7-b6fd-c7e34c38ba29,,,,,,,
2026-01-01 10:08:16.263709+00:00,submission_requested,194269d9-f879-4f44-8f12-7f354e3dbe5e,MNQZ4,MARKET,BUY,1.0,,,
2026-01-01 10:08:16.263746+00:00,submission_accepted,194269d9-f879-4f44-8f12-7f354e3dbe5e,,,,,,,
2026-01-01 10:08:16.263811+00:00,submission_requested,cf6becfb-fca7-4c3d-9840-b9dd71f57100,MNQZ4,MARKET,BUY,1.0,,,
2026-01-01 10:08:16.263845+00:00,submission_accepted,cf6becfb-fca7-4c3d-9840-b9dd71f57100,,,,,,,
2026-01-01 10:08:16.265254+00:00,submission_requested,a569bac4-e2a4-4f50-bfb0-295da50327d9,MNQZ4,MARKET,SELL,1.0,,,
2026-01-01 10:08:16.265304+00:00,submission_accepted,a569bac4-e2a4-4f50-bfb0-295da50327d9,,,,,,,
2026-01-01 10:08:16.265372+00:00,submission_requested,151620b4-ed51-4ce0-bbd3-abbb9c3487dc,MNQZ4,MARKET,SELL,1.0,,,
2026-01-01 10:08:16.265437+00:00,submission_accepted,151620b4-ed51-4ce0-bbd3-abbb9c3487dc,,,,,,,
2026-01-01 10:08:16.265553+00:00,submission_requested,5c60b592-23a4-44a3-a2b6-c8fb837250fa,MNQZ4,MARKET,SELL,1.0,,,
2026-01-01 10:08:16.265667+00:00,submission_accepted,5c60b592-23a4-44a3-a2b6-c8fb837250fa,,,,,,,
2026-01-01 10:08:16.265754+00:00,submission_requested,bffcf363-4ab9-486c-9709-8005814613d2,MNQZ4,MARKET,SELL,1.0,,,
2026-01-01 10:08:16.265843+00:00,submission_accepted,bffcf363-4ab9-486c-9709-8005814613d2,,,,,,,
2026-01-01 10:08:16.267031+00:00,submission_requested,bb00a863-27f3-4c79-9ee6-d41d75274ea8,MNQZ4,MARKET,BUY,1.0,,,
2026-01-01 10:08:16.267069+00:00,submission_accepted,bb00a863-27f3-4c79-9ee6-d41d75274ea8,,,,,,,
2026-01-01 10:08:16.267126+00:00,submission_requested,317fdae0-d479-4ac0-b65a-07279a5dabb0,MNQZ4,MARKET,BUY,1.0,,,
2026-01-01 10:08:16.267165+00:00,submission_accepted,317fdae0-d479-4ac0-b65a-07279a5dabb0,,,,,,,
2026-01-01 10:08:16.267228+00:00,submission_requested,4106510b-73da-4206-8ead-b38228e48edc,MNQZ4,MARKET,BUY,1.0,,,
2026-01-01 10:08:16.267290+00:00,submission_accepted,4106510b-73da-4206-8ead-b38228e48edc,,,,,,,
2026-01-01 10:08:16.267347+00:00,submission_requested,d42cde0e-5a96-4d7e-8cd6-1a898075f499,MNQZ4,MARKET,BUY,1.0,,,
2026-01-01 10:08:16.267400+00:00,submission_accepted,d42cde0e-5a96-4d7e-8cd6-1a898075f499,,,,,,,
2026-01-01 10:08:16.268384+00:00,submission_requested,a395fa9c-c795-4122-bb19-ac28eb2e49ce,MNQZ4,MARKET,SELL,1.0,,,
2026-01-01 10:08:16.268429+00:00,submission_accepted,a395fa9c-c795-4122-bb19-ac28eb2e49ce,,,,,,,
2026-01-01 10:08:16.268485+00:00,submission_requested,aa8b9e3e-66df-49b7-a98b-f68b1f40ea13,MNQZ4,MARKET,SELL,1.0,,,
2026-01-01 10:08:16.268522+00:00,submission_accepted,aa8b9e3e-66df-49b7-a98b-f68b1f40ea13,,,,,,,
2026-01-01 10:08:16.268590+00:00,submission_requested,514e08a6-49a4-4480-b684-3a8b1c9f6e03,MNQZ4,MARKET,SELL,1.0,,,
2026-01-01 10:08:16.268651+00:00,submission_accepted,514e08a6-49a4-4480-b684-3a8b1c9f6e03,,,,,,,
2026-01-01 10:08:16.268711+00:00,submission_requested,3e0a5680-5901-4e8f-97fe-fe653539b3d6,MNQZ4,MARKET,SELL,1.0,,,
2026-01-01 10:08:16.268746+00:00,submission_accepted,3e0a5680-5901-4e8f-97fe-fe653539b3d6,,,,,,,
2026-01-01 10:08:16.268994+00:00,submission_requested,448d0653-a756-4d0f-9df3-aeec7291fd27,MNQZ4,MARKET,BUY,1.0,,,
2026-01-01 10:08:16.269041+00:00,submission_accepted,448d0653-a756-4d0f-9df3-aeec7291fd27,,,,,,,
2026-01-01 10:08:16.269099+00:00,submission_requested,b6659a86-bf9f-4201-a677-550f46f254a5,MNQZ4,MARKET,BUY,1.0,,,
2026-01-01 10:08:16.269132+00:00,submission_accepted,b6659a86-bf9f-4201-a677-550f46f254a5,,,,,,,
2026-01-01 10:08:16.269190+00:00,submission_requested,2de9c793-6cf6-481c-9ac7-448903df28b4,MNQZ4,MARKET,BUY,1.0,,,
