ts_event,symbol,bar_period,open,high,low,close,volume
2024-12-01 23:00:00+00:00,MNQZ4,MINUTE,20994.5,21003.5,20990.0,20998.75,1444
2024-12-01 23:01:00+00:00,MNQZ4,MINUTE,20999.0,21001.0,20985.25,20987.25,1231
2024-12-01 23:02:00+00:00,MNQZ4,MINUTE,20987.25,20992.75,20984.5,20991.25,609
2024-12-01 23:03:00+00:00,MNQZ4,MINUTE,20991.25,20993.0,20985.25,20986.0,308
2024-12-01 23:04:00+00:00,MNQZ4,MINUTE,20986.0,20991.25,20983.5,20988.25,417
2024-12-01 23:05:00+00:00,MNQZ4,MINUTE,20988.5,20989.5,20973.75,20977.75,1145
2024-12-01 23:06:00+00:00,MNQZ4,MINUTE,20978.75,20983.5,20978.75,20980.75,272
2024-12-01 23:07:00+00:00,MNQZ4,MINUTE,20980.5,20983.25,20971.0,20972.25,649
2024-12-01 23:08:00+00:00,MNQZ4,MINUTE,20972.25,20973.25,20962.0,20970.0,934
2024-12-01 23:09:00+00:00,MNQZ4,MINUTE,20970.0,20973.75,20968.0,20971.0,449
2024-12-01 23:10:00+00:00,MNQZ4,MINUTE,20971.75,20972.5,20960.75,20964.0,787
2024-12-01 23:11:00+00:00,MNQZ4,MINUTE,20964.0,20968.5,20960.75,20966.25,374
2024-12-01 23:12:00+00:00,MNQZ4,MINUTE,20965.75,20973.5,20964.75,20972.75,604
2024-12-01 23:13:00+00:00,MNQZ4,MINUTE,20972.0,20977.25,20970.25,20976.25,523
2024-12-01 23:14:00+00:00,MNQZ4,MINUTE,20977.0,20980.75,20976.75,20978.0,447
2024-12-01 23:15:00+00:00,MNQZ4,MINUTE,20978.25,20985.5,20977.25,20985.0,601
2024-12-01 23:16:00+00:00,MNQZ4,MINUTE,20984.75,20987.5,20980.5,20982.75,540
2024-12-01 23:17:00+00:00,MNQZ4,MINUTE,20982.75,20983.5,20978.0,20980.25,422
2024-12-01 23:18:00+00:00,MNQZ4,MINUTE,20979.5,20981.0,20975.75,20976.0,296
2024-12-01 23:19:00+00:00,MNQZ4,MINUTE,20976.5,20978.25,20971.0,20972.5,445
2024-12-01 23:20:00+00:00,MNQZ4,MINUTE,20973.0,20973.5,20969.0,20971.0,397
2024-12-01 23:21:00+00:00,MNQZ4,MINUTE,20971.25,20974.0,20970.0,20970.25,272
2024-12-01 23:22:00+00:00,MNQZ4,MINUTE,20970.5,20973.5,20969.25,20972.25,271
2024-12-01 23:23:00+00:00,MNQZ4,MINUTE,20972.5,20974.25,20970.75,20971.5,172
2024-12-01 23:24:00+00:00,MNQZ4,MINUTE,20970.5,20974.0,20969.0,20973.25,305
